DATE,MEDLISPRIMM6081
2018-05-01,3.43
2018-06-01,2.99
2018-07-01,-8.0
2018-08-01,-3.75
2018-09-01,3.27
2018-10-01,-3.16
2018-11-01,-0.22
2018-12-01,-6.53
2019-01-01,-2.97
2019-02-01,9.39
2019-03-01,6.11
2019-04-01,6.63
2019-05-01,0.97
2019-06-01,-4.39
2019-07-01,-1.82
2019-08-01,-0.39
2019-09-01,-0.97
2019-10-01,-1.06
2019-11-01,2.17
2019-12-01,5.87
2020-01-01,-4.93
2020-02-01,6.15
2020-03-01,0.04
2020-04-01,-1.81
2020-05-01,1.89
2020-06-01,-0.75
2020-07-01,-5.06
2020-08-01,-4.06
2020-09-01,-3.26
2020-10-01,-2.36
2020-11-01,-2.8
2020-12-01,-0.74
2021-01-01,-0.01
2021-02-01,7.12
2021-03-01,4.0
2021-04-01,2.55
2021-05-01,0.11
2021-06-01,-2.33
2021-07-01,-2.74
2021-08-01,-0.43
2021-09-01,0.69
2021-10-01,-1.71
